h1_close_time,direction,trigger_high,trigger_low,prev_high,prev_low,range_pips
2026-04-15 05:00:00+00:00,bullish,159.01,158.952,159.048,158.957,9.1
2026-04-15 07:00:00+00:00,bullish,159.025,158.862,158.996,158.909,8.7
2026-04-15 08:00:00+00:00,bearish,159.026,158.884,159.025,158.862,16.3
2026-04-15 12:00:00+00:00,bearish,159.095,158.927,159.051,158.825,22.6
2026-04-15 15:00:00+00:00,bullish,159.063,158.922,159.121,158.98,14.1
2026-04-15 16:00:00+00:00,bullish,159.027,158.863,159.063,158.922,14.1
2026-04-15 19:00:00+00:00,bearish,159.121,159.0,159.11,158.876,23.4
2026-04-16 02:00:00+00:00,bullish,158.823,158.677,158.851,158.715,13.6
2026-04-16 04:00:00+00:00,bullish,158.673,158.262,158.813,158.506,30.7
2026-04-16 07:00:00+00:00,bearish,158.951,158.754,158.854,158.699,15.5
2026-04-16 08:00:00+00:00,bullish,158.886,158.724,158.951,158.754,19.7
2026-04-16 10:00:00+00:00,bearish,159.067,158.96,159.057,158.85,20.7
2026-04-16 11:00:00+00:00,bearish,159.127,159.011,159.067,158.96,10.7
2026-04-16 16:00:00+00:00,bearish,159.283,159.074,159.273,159.087,18.6
2026-04-16 17:00:00+00:00,bullish,159.263,159.024,159.283,159.074,20.9
2026-04-16 18:00:00+00:00,bearish,159.29,159.17,159.263,159.024,23.9
2026-04-16 19:00:00+00:00,bullish,159.257,159.159,159.29,159.17,12.0
2026-04-16 20:00:00+00:00,bullish,159.215,159.095,159.257,159.159,9.8
2026-04-16 23:00:00+00:00,bullish,159.14,159.022,159.185,159.058,12.7
2026-04-17 03:00:00+00:00,bearish,159.442,159.357,159.426,159.302,12.4
2026-04-17 04:00:00+00:00,bearish,159.462,159.364,159.442,159.357,8.5
2026-04-17 06:00:00+00:00,bearish,159.528,159.454,159.482,159.374,10.8
2026-04-17 12:00:00+00:00,bearish,159.224,159.139,159.176,159.028,14.8
2026-04-17 17:00:00+00:00,bearish,158.198,157.959,158.176,157.794,38.2
2026-04-17 18:00:00+00:00,bearish,158.276,158.039,158.198,157.959,23.9
2026-04-20 03:00:00+00:00,bullish,158.914,158.789,159.016,158.835,18.1
2026-04-20 04:00:00+00:00,bearish,158.932,158.8,158.914,158.789,12.5
2026-04-20 05:00:00+00:00,bearish,158.945,158.845,158.932,158.8,13.2
2026-04-20 09:00:00+00:00,bearish,159.073,158.915,159.051,158.725,32.6
2026-04-20 10:00:00+00:00,bullish,159.027,158.882,159.073,158.915,15.8
2026-04-20 11:00:00+00:00,bullish,158.972,158.86,159.027,158.882,14.5
2026-04-20 13:00:00+00:00,bearish,158.972,158.809,158.956,158.756,20.0
2026-04-20 16:00:00+00:00,bullish,158.786,158.548,158.892,158.628,26.4
2026-04-20 23:00:00+00:00,bearish,158.813,158.72,158.779,158.599,18.0
2026-04-21 10:00:00+00:00,bearish,159.254,159.109,159.213,159.014,19.9
2026-04-21 13:00:00+00:00,bullish,159.243,159.016,159.248,159.039,20.9
2026-04-21 14:00:00+00:00,bullish,159.195,159.014,159.243,159.016,22.7
2026-04-21 18:00:00+00:00,bearish,159.614,159.171,159.503,159.352,15.1
2026-04-21 20:00:00+00:00,bullish,159.637,159.229,159.491,159.28,21.1
2026-04-21 22:00:00+00:00,bullish,159.43,159.291,159.637,159.292,34.5
2026-04-22 10:00:00+00:00,bearish,159.369,159.314,159.367,159.2,16.7
2026-04-22 12:00:00+00:00,bullish,159.28,159.192,159.369,159.213,15.6
2026-04-22 13:00:00+00:00,bullish,159.361,159.152,159.28,159.192,8.8
2026-04-22 17:00:00+00:00,bearish,159.53,159.444,159.512,159.366,14.6
2026-04-22 19:00:00+00:00,bullish,159.491,159.415,159.521,159.426,9.5
2026-04-22 21:00:00+00:00,bearish,159.571,159.422,159.551,159.461,9.0
2026-04-22 23:00:00+00:00,bearish,159.486,159.401,159.475,159.37,10.5
2026-04-23 05:00:00+00:00,bearish,159.583,159.516,159.547,159.472,7.5
2026-04-23 08:00:00+00:00,bearish,159.698,159.595,159.666,159.523,14.3
2026-04-23 09:00:00+00:00,bullish,159.697,159.587,159.698,159.595,10.3
2026-04-23 11:00:00+00:00,bearish,159.779,159.662,159.739,159.655,8.4
2026-04-23 13:00:00+00:00,bullish,159.601,159.435,159.75,159.497,25.3
2026-04-23 14:00:00+00:00,bearish,159.617,159.466,159.601,159.435,16.6
2026-04-23 16:00:00+00:00,bullish,159.487,159.312,159.616,159.378,23.8
2026-04-23 23:00:00+00:00,bearish,159.728,159.64,159.715,159.539,17.6
2026-04-24 01:00:00+00:00,bullish,159.809,159.674,159.784,159.699,8.5
2026-04-24 05:00:00+00:00,bullish,159.799,159.727,159.84,159.762,7.8
2026-04-24 06:00:00+00:00,bearish,159.815,159.748,159.799,159.727,7.2
2026-04-24 10:00:00+00:00,bearish,159.759,159.689,159.755,159.662,9.3
2026-04-24 11:00:00+00:00,bearish,159.769,159.642,159.759,159.689,7.0
2026-04-24 14:00:00+00:00,bearish,159.65,159.475,159.621,159.373,24.8
2026-04-24 15:00:00+00:00,bullish,159.644,159.385,159.65,159.475,17.5
2026-04-24 17:00:00+00:00,bullish,159.418,159.312,159.586,159.332,25.4
2026-04-24 19:00:00+00:00,bearish,159.467,159.399,159.427,159.308,11.9
2026-04-26 23:00:00+00:00,bearish,159.585,159.505,159.56,159.474,8.6
2026-04-27 00:00:00+00:00,bearish,159.594,159.507,159.585,159.505,8.0
